match_id,date,tournament,circuit,player1,player2,score,winner,match_start_time,available_at
M001,2024-01-15,Australian Open,ATP,Novak Djokovic,Rafael Nadal,6-4 6-3,Novak Djokovic,2024-01-15T10:00:00Z,2024-01-15T09:00:00Z
M002,2024-01-16,Australian Open,ATP,Roger Federer,Andy Murray,7-6 6-4,Roger Federer,2024-01-16T14:00:00Z,2024-01-16T13:00:00Z
M003,2024-01-20,Challenger Bangkok,Challenger,John Isner,Milos Raonic,6-7 7-6 6-4,John Isner,2024-01-20T08:00:00Z,2024-01-20T07:00:00Z
M004,2024-01-22,ITF Tunisia,ITF,Carlos Alcaraz,Jannik Sinner,6-3 6-2,Carlos Alcaraz,2024-01-22T11:00:00Z,2024-01-22T10:00:00Z
M005,2024-01-25,ATP Dubai,ATP,Daniil Medvedev,Stefanos Tsitsipas,6-4 7-5,Daniil Medvedev,2024-01-25T16:00:00Z,2024-01-25T15:00:00Z
M006,2024-01-28,Challenger Bergamo,Challenger,Alexander Zverev,Casper Ruud,6-2 6-4,Alexander Zverev,2024-01-28T12:00:00Z,2024-01-28T11:00:00Z
M007,2024-02-01,ATP Rotterdam,ATP,Felix Auger-Aliassime,Taylor Fritz,7-6 6-3,Felix Auger-Aliassime,2024-02-01T18:00:00Z,2024-02-01T17:00:00Z
M008,2024-02-05,Australian Open,ATP,Nick Kyrgios,Dominic Thiem,6-4 6-4 6-2,Nick Kyrgios,2024-02-05T09:00:00Z,2024-02-05T08:00:00Z
M009,2024-02-10,ITF Egypt,ITF,Lorenzo Musetti,Sebastian Baez,6-3 7-5,Lorenzo Musetti,2024-02-10T13:00:00Z,2024-02-10T12:00:00Z
M010,2024-02-12,Challenger Pune,Challenger,Holger Rune,Jack Draper,7-5 6-4,Holger Rune,2024-02-12T10:00:00Z,2024-02-12T09:00:00Z
